show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in
s226,Movie,The Comeback,Amanda Bell,United States,"April 30, 2022",2022,PG-13,103 min,"Dramas"
s227,TV Show,Spellbound,Sean Murphy,United States,"July 12, 2020",2020,TV-14,2 Seasons,"TV Sci-Fi & Fantasy, TV Dramas"
s228,Movie,Born Free,Jennifer Cooper,United States,"October 5, 2021",2021,TV-PG,86 min,"Documentaries"
s229,Movie,Madrid Confidential,,Spain,"December 16, 2019",2019,TV-MA,107 min,"Thrillers, International Movies, Crime Movies"
s230,TV Show,Single in the City,William Barnes,United States,"March 3, 2022",2022,TV-14,1 Season,"TV Comedies, Romantic TV Shows"
s231,Movie,The Frontline,George Powell,United States,"June 24, 2021",2021,R,112 min,"Dramas, Action & Adventure"
s232,Movie,Carnival of Souls,Richard Cooper,United States,"September 29, 2020",2020,R,85 min,"Horror Movies"
s233,TV Show,The Governor,Sarah Johnson,United States,"January 15, 2023",2022,TV-MA,3 Seasons,"TV Dramas"
s234,Movie,Passage to India,Deepika Malhotra,India,"May 21, 2019",2019,TV-14,148 min,"Dramas, International Movies"
s235,Movie,Concrete Jungle,Michael Chen,United States,"August 4, 2022",2022,R,99 min,"Crime Movies, Dramas"
s236,TV Show,Pet Hospital,,United States,"November 19, 2020",2020,TV-G,2 Seasons,"Kids' TV, Reality TV"
s237,Movie,Homeward Bound Again,Maria Garcia,United States,"February 24, 2021",2021,PG,94 min,"Children & Family Movies"
s238,Movie,The Portrait,James Wilson,United Kingdom,"April 12, 2022",2022,TV-14,91 min,"Dramas"
s239,TV Show,Surf City,Robert Martinez,Australia,"July 18, 2020",2020,TV-14,3 Seasons,"TV Dramas, International TV Shows"
s240,Movie,Dust Bowl Days,Amanda Taylor,United States,"October 10, 2021",2021,TV-PG,87 min,"Documentaries, Dramas"
s241,Movie,The Confession,,United States,"December 22, 2019",2019,R,96 min,"Thrillers, Dramas"
s242,TV Show,Robot World,Christopher Brown,United States,"March 9, 2022",2022,TV-PG,1 Season,"TV Sci-Fi & Fantasy, Kids' TV"
s243,Movie,Light in the Storm,Lisa Anderson,United States,"June 7, 2021",2021,TV-14,100 min,"Dramas"
s244,Movie,Tango in Buenos Aires,Daniel Kim,Argentina,"September 13, 2020",2020,TV-14,108 min,"Dramas, International Movies, Music & Musicals"
s245,TV Show,The Precinct Files,Rachel Thompson,United States,"January 28, 2023",2022,TV-MA,2 Seasons,"Crime TV Shows, TV Dramas"
s246,Movie,Firestarter,Kevin Nguyen,United States,"May 5, 2019",2019,PG-13,105 min,"Sci-Fi & Fantasy, Action & Adventure"
s247,Movie,The Long Way Home,,India,"August 18, 2022",2022,TV-14,133 min,"Dramas, International Movies"
s248,TV Show,Fashion Forward,Emily Davis,United States,"November 2, 2020",2020,TV-PG,4 Seasons,"Reality TV"
s249,Movie,Ocean's Depth,Andrew Foster,United States,"February 6, 2021",2021,PG-13,113 min,"Action & Adventure, Thrillers"
s250,Movie,Confession of Love,Nicole Moore,United Kingdom,"April 28, 2022",2022,PG,97 min,"Romantic Movies"
s251,TV Show,Shadow Ops,Steven Clark,United States,"July 2, 2020",2020,TV-MA,3 Seasons,"TV Action & Adventure, TV Dramas"
s252,Movie,The Mother,Jennifer White,United States,"October 20, 2021",2021,TV-MA,98 min,"Dramas, Thrillers"
s253,Movie,Amazonia,Thomas Rodriguez,Brazil,"December 5, 2019",2019,TV-PG,88 min,"Documentaries, International Movies"
s254,TV Show,Gravity,Megan Harris,United States,"March 20, 2022",2022,TV-14,2 Seasons,"TV Sci-Fi & Fantasy, TV Dramas"
s255,Movie,Nairobi Hustle,,Kenya,"June 14, 2021",2021,TV-MA,102 min,"Dramas, International Movies"
s256,Movie,Stand and Deliver,Patrick O'Brien,United States,"September 6, 2020",2020,TV-14,115 min,"Dramas"
s257,TV Show,The Experiment,Samantha Lewis,United States,"January 11, 2023",2022,TV-MA,1 Season,"TV Sci-Fi & Fantasy, TV Dramas"
s258,Movie,Caged,Brian Walker,United States,"May 19, 2019",2019,R,91 min,"Thrillers"
s259,Movie,Alpine Rescue,Christina Hall,Germany,"August 11, 2022",2022,PG-13,104 min,"Action & Adventure, International Movies"
s260,TV Show,Country Roads,Matthew Young,United States,"November 25, 2020",2020,TV-14,3 Seasons,"TV Dramas"
s261,Movie,The Con Artist,Laura Allen,United States,"February 16, 2021",2021,R,97 min,"Crime Movies, Comedies"
s262,Movie,Dreamland,Jonathan King,United States,"April 7, 2022",2022,PG-13,109 min,"Sci-Fi & Fantasy, Dramas"
s263,TV Show,Secrets and Lies,,United States,"July 23, 2020",2020,TV-MA,4 Seasons,"TV Dramas, TV Mysteries"
s264,Movie,The Marathon,Rebecca Wright,United States,"October 28, 2021",2021,TV-PG,95 min,"Dramas"
s265,Movie,Abracadabra,Eric Scott,United States,"December 18, 2019",2019,PG,88 min,"Children & Family Movies"
s266,TV Show,Witch Hunt,Michelle Green,United States,"March 14, 2022",2022,TV-MA,2 Seasons,"TV Dramas, TV Mysteries"
s267,Movie,Songs of the Monsoon,Raj Patel,India,"June 26, 2021",2021,TV-PG,130 min,"Dramas, International Movies, Music & Musicals"
s268,Movie,The Accountant,Alex Rivera,United States,"September 19, 2020",2020,R,106 min,"Thrillers, Crime Movies"
s269,TV Show,Tiny House Nation,,United States,"January 4, 2023",2022,TV-G,1 Season,"Reality TV"
s270,Movie,Return to Sender,Diana Torres,United States,"May 10, 2019",2019,TV-14,93 min,"Thrillers, Dramas"
s271,Movie,Savannah Blues,Ryan Phillips,United States,"August 22, 2022",2022,TV-14,101 min,"Dramas, Music & Musicals"
s272,TV Show,The Bureau,Pierre Dubois,France,"November 8, 2020",2020,TV-MA,3 Seasons,"Crime TV Shows, TV Dramas, International TV Shows"
s273,Movie,Wildflower,Karen Campbell,United States,"February 12, 2021",2021,PG,90 min,"Dramas, Romantic Movies"
s274,Movie,The Prototype,Gregory Mitchell,United States,"April 21, 2022",2022,PG-13,117 min,"Sci-Fi & Fantasy, Thrillers"
s275,TV Show,The Inheritance,Susan Parker,United Kingdom,"July 9, 2020",2020,TV-14,2 Seasons,"TV Dramas, TV Mysteries"
s276,Movie,Laugh Out Loud,,United States,"October 12, 2021",2021,TV-MA,65 min,"Stand-Up Comedy"
s277,Movie,Bollywood Bonanza,Vikram Singh,India,"December 30, 2019",2019,TV-14,152 min,"Comedies, International Movies, Music & Musicals"
s278,TV Show,Nightshift,Mark Evans,United States,"March 7, 2022",2022,TV-MA,3 Seasons,"TV Dramas"
s279,Movie,Canyon Road,Julie Adams,United States,"June 19, 2021",2021,PG-13,96 min,"Action & Adventure, Dramas"
s280,Movie,The Dive,Benjamin Turner,Australia,"September 10, 2020",2020,PG-13,90 min,"Action & Adventure, International Movies"
s281,TV Show,Hacker's Domain,,United States,"January 17, 2023",2022,TV-MA,1 Season,"TV Dramas, TV Sci-Fi & Fantasy"
s282,Movie,Havana Sunrise,Stephanie Collins,Cuba,"May 23, 2019",2019,TV-14,105 min,"Dramas, International Movies"
s283,Movie,The Offering,Carlos Hernandez,United States,"August 7, 2022",2022,R,84 min,"Horror Movies"
s284,TV Show,Sibling Rivalry,Ashley Stewart,United States,"November 15, 2020",2020,TV-14,4 Seasons,"TV Comedies"
s285,Movie,Peak Performance,Peter Morris,United States,"February 21, 2021",2021,TV-PG,78 min,"Documentaries"
s286,Movie,The Stranger,Rachel Morgan,United Kingdom,"April 16, 2022",2022,TV-MA,95 min,"Thrillers"
s287,TV Show,Heartland Hospital,Tyler Reed,United States,"July 27, 2020",2020,TV-14,2 Seasons,"TV Dramas"
s288,Movie,Spanish Fly,Natalie Cook,Spain,"October 24, 2021",2021,TV-MA,103 min,"Comedies, International Movies"
s289,Movie,Glacier Point,,Canada,"December 7, 2019",2019,PG-13,107 min,"Action & Adventure, Dramas"
s290,TV Show,Quantum Leap Forward,Jason Rogers,United States,"March 24, 2022",2022,TV-14,2 Seasons,"TV Sci-Fi & Fantasy"
s291,Movie,The Preacher,Amanda Bell,United States,"June 4, 2021",2021,R,110 min,"Dramas, Thrillers"
s292,Movie,Marigold Hotel,Priya Sharma,India,"September 16, 2020",2020,TV-PG,135 min,"Comedies, International Movies, Romantic Movies"
s293,TV Show,Survival Island,,United States,"January 8, 2023",2022,TV-14,1 Season,"Reality TV, TV Action & Adventure"
s294,Movie,Outlaw Territory,Sean Murphy,United States,"May 15, 2019",2019,R,118 min,"Action & Adventure"
s295,Movie,Safe Haven,Jennifer Cooper,United States,"August 28, 2022",2022,TV-14,93 min,"Dramas, Romantic Movies"
s296,TV Show,The Codebreakers,William Barnes,United States,"November 20, 2020",2020,TV-MA,3 Seasons,"TV Dramas, TV Mysteries"
s297,Movie,Komorebi,Hiro Nakamura,Japan,"February 28, 2021",2021,TV-14,108 min,"Dramas, International Movies"
s298,Movie,The Verdict,George Powell,United States,"April 9, 2022",2022,R,104 min,"Dramas, Crime Movies"
s299,TV Show,Generation Next,,United States,"July 15, 2020",2020,TV-14,5 Seasons,"TV Dramas"
s300,Movie,Midnight in Paris Texas,Richard Cooper,United States,"October 7, 2021",2021,TV-MA,96 min,"Dramas, Comedies"
s301,TV Show,The Apprentice Files,Sarah Johnson,United States,"March 1, 2022",2022,TV-PG,2 Seasons,"Reality TV"
s302,Movie,Sangam,Arjun Reddy,India,"June 28, 2020",2020,TV-14,143 min,"Dramas, International Movies, Romantic Movies"
s303,Movie,Firewall,Michael Chen,United States,"December 14, 2019",2019,PG-13,101 min,"Thrillers, Sci-Fi & Fantasy"
s304,TV Show,The Diner,Maria Garcia,United States,"September 2, 2022",2022,TV-14,1 Season,"TV Comedies"
s305,Movie,Snowbound,,Canada,"January 20, 2021",2021,PG-13,99 min,"Thrillers, Action & Adventure"
s306,Movie,The Prophet,James Wilson,United States,"May 7, 2019",2019,R,113 min,"Dramas"
s307,TV Show,Guardians of the Reef,Robert Martinez,Australia,"August 13, 2022",2022,TV-PG,2 Seasons,"Docuseries, International TV Shows"
s308,Movie,Capoeira,Fernando Silva,Brazil,"November 3, 2020",2020,TV-14,98 min,"Action & Adventure, International Movies"
s309,Movie,The Whistleblower,Amanda Taylor,United States,"February 9, 2021",2021,R,106 min,"Thrillers, Dramas"
s310,TV Show,Puppet Masters,,United States,"April 25, 2022",2022,TV-MA,3 Seasons,"Crime TV Shows, TV Dramas"
s311,Movie,Summer Solstice,Christopher Brown,United States,"July 21, 2020",2020,TV-14,90 min,"Dramas, Romantic Movies"
s312,Movie,The Vault,Lisa Anderson,United States,"October 30, 2021",2021,PG-13,115 min,"Action & Adventure, Thrillers"
s313,TV Show,School of Life,Daniel Kim,United States,"January 14, 2023",2022,TV-PG,1 Season,"TV Comedies"
s314,Movie,Jaipur Junction,Neha Kapoor,India,"May 18, 2019",2019,TV-PG,128 min,"Comedies, International Movies"
s315,Movie,The Reckoning,Rachel Thompson,United States,"August 20, 2022",2022,R,103 min,"Thrillers, Crime Movies"
s316,TV Show,Enchanted Forest,Kevin Nguyen,United States,"November 11, 2020",2020,TV-G,4 Seasons,"Kids' TV"
s317,Movie,Split Decision,Emily Davis,United States,"February 17, 2021",2021,TV-14,94 min,"Dramas, Thrillers"
s318,Movie,Parisian Love Story,,France,"April 2, 2022",2022,TV-14,101 min,"Romantic Movies, International Movies"
s319,TV Show,The Heist,Andrew Foster,United States,"July 3, 2020",2020,TV-MA,2 Seasons,"Crime TV Shows, TV Dramas"
s320,Movie,Wanderlust,Nicole Moore,United States,"October 16, 2021",2021,PG,88 min,"Comedies, Romantic Movies"
s321,Movie,The Revolution,Steven Clark,Mexico,"December 21, 2019",2019,TV-MA,120 min,"Dramas, International Movies"
s322,TV Show,Night Court,Jennifer White,United States,"March 18, 2022",2022,TV-14,3 Seasons,"TV Comedies, TV Dramas"
s323,Movie,Monsoon Melody,Sanjay Gupta,India,"June 9, 2021",2021,TV-PG,136 min,"Music & Musicals, International Movies"
s324,Movie,The Debt Collector,Thomas Rodriguez,United States,"September 24, 2020",2020,R,97 min,"Action & Adventure, Crime Movies"
s325,TV Show,Tiny Explorers,,United States,"January 22, 2023",2022,TV-G,2 Seasons,"Kids' TV"
s326,Movie,Black Ice,Megan Harris,Canada,"May 26, 2019",2019,PG-13,104 min,"Thrillers"
s327,Movie,The Sculptor,Patrick O'Brien,United States,"August 8, 2022",2022,TV-14,91 min,"Dramas"
s328,TV Show,Battle Royale Academy,Kenji Watanabe,Japan,"November 6, 2020",2020,TV-MA,3 Seasons,"Anime Series, TV Action & Adventure, International TV Shows"
s329,Movie,Firefly Lane,Samantha Lewis,United States,"February 25, 2021",2021,PG,96 min,"Dramas, Romantic Movies"
s330,Movie,The Catch,Brian Walker,United States,"April 13, 2022",2022,PG-13,109 min,"Action & Adventure"
s331,TV Show,Office Politics,,United States,"July 20, 2020",2020,TV-14,4 Seasons,"TV Comedies"
s332,Movie,Crossroads of Fate,Christina Hall,United States,"October 3, 2021",2021,TV-14,98 min,"Dramas"
s333,Movie,Riverside Blues,Matthew Young,United States,"December 10, 2019",2019,R,87 min,"Music & Musicals, Dramas"
s334,TV Show,The Surgeon,Laura Allen,United States,"March 5, 2022",2022,TV-MA,2 Seasons,"TV Dramas"
s335,Movie,Nirvana,Deepika Malhotra,India,"June 23, 2021",2021,TV-14,139 min,"Dramas, International Movies"
s336,Movie,Sky High,Jonathan King,United States,"September 4, 2020",2020,PG,95 min,"Children & Family Movies, Sci-Fi & Fantasy"
s337,TV Show,The Negotiator,Rebecca Wright,United Kingdom,"January 5, 2023",2022,TV-MA,1 Season,"TV Dramas, Crime TV Shows"
s338,Movie,El Mariachi Nuevo,Pablo Ramirez,Mexico,"May 11, 2019",2019,TV-14,102 min,"Dramas, International Movies, Music & Musicals"
s339,Movie,The Alibi,,United States,"August 15, 2022",2022,R,93 min,"Thrillers, Crime Movies"
s340,TV Show,Midnight Diner,Eric Scott,United States,"November 22, 2020",2020,TV-14,3 Seasons,"TV Dramas"
s341,Movie,Aurora Borealis,Michelle Green,United States,"February 13, 2021",2021,PG-13,110 min,"Dramas, Sci-Fi & Fantasy"
s342,Movie,Adrenaline Rush,Alex Rivera,United States,"April 19, 2022",2022,PG-13,105 min,"Action & Adventure"
s343,TV Show,The Collective,Diana Torres,United States,"July 8, 2020",2020,TV-MA,2 Seasons,"TV Dramas, TV Sci-Fi & Fantasy"
s344,Movie,Dance Revolution,Ryan Phillips,United States,"October 26, 2021",2021,TV-PG,92 min,"Music & Musicals"
s345,Movie,The Alchemist,,India,"December 3, 2019",2019,TV-14,145 min,"Dramas, International Movies"
s346,TV Show,Farm to Table,Karen Campbell,United States,"March 11, 2022",2022,TV-G,1 Season,"Reality TV, Docuseries"
s347,Movie,Shattered Glass,Gregory Mitchell,United States,"June 17, 2021",2021,R,94 min,"Thrillers, Dramas"
s348,Movie,Standing Ovation,Susan Parker,United States,"September 9, 2020",2020,TV-MA,71 min,"Stand-Up Comedy"
s349,TV Show,The Librarian,Mark Evans,United Kingdom,"January 18, 2023",2022,TV-14,2 Seasons,"TV Mysteries, TV Dramas"
s350,Movie,Jungle Fever Dreams,Julie Adams,United States,"May 4, 2019",2019,R,100 min,"Dramas, Thrillers"
s351,Movie,The Pledge,Benjamin Turner,United States,"August 24, 2022",2022,TV-14,88 min,"Dramas"
s352,TV Show,Neon Genesis,Min-jun Kim,South Korea,"November 16, 2020",2020,TV-MA,3 Seasons,"TV Sci-Fi & Fantasy, International TV Shows"
s353,Movie,Red Carpet,Stephanie Collins,United States,"February 4, 2021",2021,TV-PG,85 min,"Documentaries"
s354,Movie,Mercy Street,Carlos Hernandez,United States,"April 22, 2022",2022,R,101 min,"Dramas, Crime Movies"
s355,TV Show,The Ranch Hands,,United States,"July 14, 2020",2020,TV-14,4 Seasons,"TV Dramas, TV Comedies"
s356,Movie,Land of the Rising Sun,Ashley Stewart,Japan,"October 18, 2021",2021,TV-14,112 min,"Dramas, International Movies"
s357,Movie,Coral Reef,Peter Morris,Australia,"December 15, 2019",2019,TV-PG,83 min,"Documentaries, International Movies"
s358,TV Show,Lab Rats,Rachel Morgan,United States,"March 28, 2022",2022,TV-14,1 Season,"TV Sci-Fi & Fantasy, TV Comedies"
s359,Movie,End Game,Tyler Reed,United States,"June 11, 2021",2021,R,116 min,"Thrillers, Action & Adventure"
s360,Movie,The Reunion,,United States,"September 20, 2020",2020,TV-14,97 min,"Comedies, Dramas"
s361,TV Show,Blood Ties,Natalie Cook,United States,"January 12, 2023",2022,TV-MA,2 Seasons,"TV Dramas, Crime TV Shows"
s362,Movie,Marrakech Express,Jason Rogers,Morocco,"May 16, 2019",2019,TV-14,104 min,"Action & Adventure, International Movies"
s363,Movie,The Glass Ceiling,Amanda Bell,United States,"August 5, 2022",2022,TV-14,90 min,"Dramas"
s364,TV Show,The Wilderness,Sean Murphy,United States,"November 9, 2020",2020,TV-PG,3 Seasons,"Docuseries"
s365,Movie,Zero Hour,Jennifer Cooper,United States,"February 20, 2021",2021,PG-13,108 min,"Sci-Fi & Fantasy, Thrillers"
s366,Movie,Autumn Leaves,William Barnes,United States,"April 5, 2022",2022,PG,93 min,"Dramas, Romantic Movies"
s367,TV Show,Spy Games,,United Kingdom,"July 26, 2020",2020,TV-MA,2 Seasons,"TV Action & Adventure, TV Dramas"
s368,Movie,The Interpreter,George Powell,France,"October 9, 2021",2021,PG-13,99 min,"Thrillers, International Movies"
s369,Movie,Bollywood Dreams Come True,Raj Patel,India,"December 28, 2019",2019,TV-14,150 min,"Romantic Movies, International Movies, Music & Musicals"
s370,TV Show,College Daze,Richard Cooper,United States,"March 17, 2022",2022,TV-14,3 Seasons,"TV Comedies"
s371,Movie,City of Angels Falls,Sarah Johnson,United States,"June 30, 2021",2021,R,107 min,"Crime Movies, Dramas"
s372,Movie,Namaste London,Priya Sharma,India,"September 12, 2020",2020,TV-PG,125 min,"Comedies, International Movies"
s373,TV Show,The Silent Treatment,Michael Chen,United States,"January 25, 2023",2022,TV-MA,1 Season,"TV Dramas, TV Mysteries"
s374,Movie,Snowfall,Maria Garcia,United States,"May 20, 2019",2019,TV-14,94 min,"Dramas"
s375,Movie,The Passenger,,United States,"August 18, 2022",2022,R,98 min,"Thrillers"
s376,TV Show,Coastal Living,James Wilson,United States,"November 13, 2020",2020,TV-PG,4 Seasons,"Reality TV"
s377,Movie,Sunset Boulevard Revisited,Robert Martinez,United States,"February 7, 2021",2021,TV-14,103 min,"Dramas"
s378,Movie,Kung Fu Panda Dreams,Amanda Taylor,China,"April 17, 2022",2022,PG,95 min,"Action & Adventure, International Movies"
s379,TV Show,The Academy,Christopher Brown,United States,"July 5, 2020",2020,TV-14,2 Seasons,"TV Dramas"
s380,Movie,Flamenco Nights,Lucia Torres,Spain,"October 21, 2021",2021,TV-14,106 min,"Dramas, International Movies, Music & Musicals"
s381,Movie,Redemption Road,,United States,"December 6, 2019",2019,R,114 min,"Dramas, Action & Adventure"
s382,TV Show,Data Point,Lisa Anderson,United States,"March 10, 2022",2022,TV-14,1 Season,"Docuseries"
s383,Movie,The Cartographer,Daniel Kim,United States,"June 20, 2021",2021,TV-PG,88 min,"Dramas"
s384,Movie,Hurricane Season,Rachel Thompson,United States,"September 8, 2020",2020,PG-13,100 min,"Action & Adventure, Dramas"
s385,TV Show,Misfits United,Kevin Nguyen,United States,"January 8, 2023",2022,TV-14,2 Seasons,"TV Comedies"
s386,Movie,Ganges,Vikram Singh,India,"May 13, 2019",2019,TV-MA,140 min,"Dramas, International Movies"
s387,Movie,Smoke and Mirrors,Emily Davis,United States,"August 25, 2022",2022,PG-13,97 min,"Thrillers, Crime Movies"
s388,TV Show,Witch Academy,,United States,"November 20, 2020",2020,TV-14,3 Seasons,"TV Sci-Fi & Fantasy, TV Dramas"
s389,Movie,The Fisherman,Andrew Foster,United Kingdom,"February 15, 2021",2021,TV-14,92 min,"Dramas"
s390,Movie,Kabuki Nights,Akira Suzuki,Japan,"April 10, 2022",2022,TV-14,115 min,"Dramas, International Movies"
s391,TV Show,The Verdict Files,Nicole Moore,United States,"July 16, 2020",2020,TV-MA,4 Seasons,"Crime TV Shows, TV Dramas"
s392,Movie,Marathon Man Returns,Steven Clark,United States,"October 13, 2021",2021,PG-13,105 min,"Action & Adventure, Dramas"
s393,Movie,The Quiet Ones,,United States,"December 19, 2019",2019,TV-MA,86 min,"Dramas"
s394,TV Show,Seoul Kitchen,Soo-yeon Park,South Korea,"March 22, 2022",2022,TV-PG,1 Season,"TV Comedies, International TV Shows"
s395,Movie,Gold Rush,Jennifer White,United States,"June 13, 2021",2021,PG-13,109 min,"Action & Adventure"
s396,Movie,Nigerian Prince,Nkechi Eze,Nigeria,"September 18, 2020",2020,TV-MA,96 min,"Comedies, International Movies"
s397,TV Show,The Orphanage,Thomas Rodriguez,United States,"January 19, 2023",2022,TV-MA,2 Seasons,"TV Dramas, TV Mysteries"
s398,Movie,Northern Lights,Megan Harris,Canada,"May 25, 2019",2019,TV-14,100 min,"Dramas, Romantic Movies"
s399,Movie,The Butcher,Patrick O'Brien,United States,"August 12, 2022",2022,R,89 min,"Thrillers, Crime Movies"
s400,TV Show,Galaxy Bound,,United States,"November 26, 2020",2020,TV-14,3 Seasons,"TV Sci-Fi & Fantasy"
s401,Movie,Silent Valley,Samantha Lewis,United States,"February 22, 2021",2021,TV-14,91 min,"Dramas"
s402,Movie,The Matchmaker,Brian Walker,United States,"April 28, 2022",2022,PG,94 min,"Romantic Movies, Comedies"
s403,TV Show,Street Racers,Christina Hall,United States,"July 22, 2020",2020,TV-MA,2 Seasons,"TV Action & Adventure"
s404,Movie,Himalayan Dawn,Sanjay Gupta,India,"October 5, 2021",2021,TV-PG,131 min,"Documentaries, International Movies"
s405,Movie,Deep Blue Sea Story,,United States,"December 12, 2019",2019,PG-13,102 min,"Action & Adventure, Thrillers"
s406,TV Show,The Therapist,Matthew Young,United States,"March 4, 2022",2022,TV-MA,1 Season,"TV Dramas"
s407,Movie,Central Park West,Laura Allen,United States,"June 25, 2021",2021,TV-14,95 min,"Dramas, Romantic Movies"
s408,Movie,Samba Sunset,Rosa Delgado,Brazil,"September 14, 2020",2020,TV-14,107 min,"Music & Musicals, International Movies"
s409,TV Show,The Comeback Trail,Jonathan King,United States,"January 15, 2023",2022,TV-14,2 Seasons,"TV Dramas"
s410,Movie,Monster Under the Bed,Rebecca Wright,United States,"May 8, 2019",2019,PG,88 min,"Children & Family Movies"
s411,Movie,The Keeper,Eric Scott,United States,"August 29, 2022",2022,TV-MA,100 min,"Dramas, Thrillers"
s412,TV Show,Dragon Slayers,Kenji Watanabe,Japan,"November 4, 2020",2020,TV-14,3 Seasons,"Anime Series, International TV Shows"
s413,Movie,Gravel Road,Michelle Green,United States,"February 10, 2021",2021,R,93 min,"Dramas"
s414,Movie,The Widow,Alex Rivera,United Kingdom,"April 15, 2022",2022,TV-MA,97 min,"Thrillers, Dramas"
s415,TV Show,Pioneer Days,,United States,"July 10, 2020",2020,TV-PG,4 Seasons,"TV Dramas"
s416,Movie,The Collector,Diana Torres,United States,"October 23, 2021",2021,R,88 min,"Thrillers, Horror Movies"
s417,Movie,Amazonia Rising,Ryan Phillips,Brazil,"December 25, 2019",2019,TV-14,105 min,"Dramas, International Movies"
s418,TV Show,Club Crimson,Karen Campbell,United States,"March 19, 2022",2022,TV-MA,2 Seasons,"TV Dramas, TV Mysteries"
s419,Movie,Lullaby,Gregory Mitchell,France,"June 6, 2021",2021,TV-14,96 min,"Dramas, International Movies"
s420,Movie,The Long Shot,Susan Parker,United States,"September 21, 2020",2020,PG-13,103 min,"Comedies, Romantic Movies"
s421,TV Show,Operation Sandstorm,Mark Evans,United States,"January 28, 2023",2022,TV-MA,1 Season,"TV Action & Adventure, TV Dramas"
s422,Movie,Harvest Moon,,United States,"May 17, 2019",2019,PG,89 min,"Dramas, Romantic Movies"
s423,Movie,Border Crossing,Julie Adams,Mexico,"August 6, 2022",2022,TV-MA,112 min,"Dramas, International Movies, Thrillers"
s424,TV Show,The Pit Crew,Benjamin Turner,United States,"November 17, 2020",2020,TV-14,3 Seasons,"TV Comedies"
s425,Movie,Glass Palace,Stephanie Collins,United States,"February 27, 2021",2021,TV-14,98 min,"Dramas"
s426,Movie,The Stakeout,Carlos Hernandez,United States,"April 8, 2022",2022,R,101 min,"Crime Movies, Thrillers"
s427,TV Show,Island Paradise,,United States,"July 28, 2020",2020,TV-PG,2 Seasons,"Reality TV"
s428,Movie,Diwali Lights,Deepika Malhotra,India,"October 19, 2021",2021,TV-PG,133 min,"Comedies, International Movies"
s429,Movie,Trail Blazer,Ashley Stewart,United States,"December 9, 2019",2019,PG-13,106 min,"Action & Adventure"
s430,TV Show,The Judges,Peter Morris,United States,"March 13, 2022",2022,TV-MA,2 Seasons,"TV Dramas, Crime TV Shows"
s431,Movie,Lost and Found,Rachel Morgan,United States,"June 15, 2021",2021,PG,90 min,"Children & Family Movies"
s432,Movie,The Other Side,,United States,"September 25, 2020",2020,R,95 min,"Thrillers, Sci-Fi & Fantasy"
s433,TV Show,Vineyard Vines,Tyler Reed,United States,"January 10, 2023",2022,TV-14,1 Season,"TV Dramas, Romantic TV Shows"
s434,Movie,Bamboo Forest,Natalie Cook,China,"May 22, 2019",2019,TV-14,108 min,"Dramas, International Movies"
s435,Movie,Reclaim,Jason Rogers,United States,"August 16, 2022",2022,PG-13,100 min,"Action & Adventure, Dramas"
s436,TV Show,Teen Wolf Chronicles,Amanda Bell,United States,"November 10, 2020",2020,TV-14,4 Seasons,"TV Sci-Fi & Fantasy, TV Dramas"
s437,Movie,The Lookout,Sean Murphy,United States,"February 18, 2021",2021,R,92 min,"Thrillers, Crime Movies"
s438,Movie,Provence Summer,Sophie Laurent,France,"April 24, 2022",2022,TV-PG,99 min,"Romantic Movies, International Movies"
s439,TV Show,Oil Country,,United States,"July 4, 2020",2020,TV-MA,3 Seasons,"TV Dramas"
s440,Movie,The Promise,Jennifer Cooper,United States,"October 27, 2021",2021,TV-14,96 min,"Dramas"
s441,Movie,Lagos to London,Chioma Adeyemi,Nigeria,"December 20, 2019",2019,TV-14,110 min,"Dramas, International Movies"
s442,TV Show,Phantom Thieves,Ji-hoon Lee,South Korea,"March 8, 2022",2022,TV-MA,2 Seasons,"Crime TV Shows, International TV Shows"
s443,Movie,Paper Trail,William Barnes,United States,"June 22, 2021",2021,R,97 min,"Thrillers, Crime Movies"
s444,Movie,Uncharted Waters,George Powell,United States,"September 5, 2020",2020,PG-13,113 min,"Action & Adventure"
s445,TV Show,The Bistro,,United States,"January 22, 2023",2022,TV-14,1 Season,"TV Comedies"
s446,Movie,Bangalore Bytes,Arjun Reddy,India,"May 3, 2019",2019,TV-14,126 min,"Comedies, International Movies"
s447,Movie,After the Storm,Richard Cooper,United States,"August 20, 2022",2022,TV-14,90 min,"Dramas"
s448,TV Show,The Ward,Sarah Johnson,United States,"November 23, 2020",2020,TV-MA,3 Seasons,"TV Dramas"
s449,Movie,Neon City,Michael Chen,United States,"February 5, 2021",2021,PG-13,108 min,"Sci-Fi & Fantasy, Action & Adventure"
s450,Movie,The Pact,,Germany,"April 18, 2022",2022,TV-MA,96 min,"Thrillers, International Movies"
s451,TV Show,Fresh Start,Maria Garcia,United States,"July 17, 2020",2020,TV-14,2 Seasons,"TV Comedies"
s452,Movie,Silk Road Odyssey,James Wilson,China,"October 14, 2021",2021,TV-14,118 min,"Action & Adventure, International Movies"
s453,Movie,The Witness,Robert Martinez,United States,"December 16, 2019",2019,R,95 min,"Thrillers, Crime Movies"
s454,TV Show,Battle Chef,Amanda Taylor,United States,"March 25, 2022",2022,TV-PG,1 Season,"Reality TV"
s455,Movie,Running on Empty,Christopher Brown,United States,"June 8, 2021",2021,TV-14,94 min,"Dramas"
